id,name,symbol,slug,isActive,isFiat,circulatingSupply,maxSupply,dateAdded,numMarketPairs,rank,lastUpdated,tags,price,volume24,volumeChange24,percentChangeHr,percentChange24,percentChangeWk,percentChange30Day,marketCap,marketCapDominance,fullyDilutedMarketCap,lastUpdated
2416,Theta Network,THETA,theta-network,FALSE,FALSE,1000000000,1.00E+09,2018-01-17T00:00,134,45,2022-12-22T20:46,"[[""media""::""collectibles-nfts""::""content-creation""::""defi""::""video""::""metaverse""::""huobi-capital-portfolio""::""web3""]]",0.778665093,8615365.139,-1.2543,1.4751647,2.1416185,-5.6692348,0,7.79E+08,0,7.79E+08,2022-12-22T20:46
7278,Aave,AAVE,aave,FALSE,FALSE,14093192,1.60E+07,2020-10-02T00:00,476,46,2022-12-22T20:46,"[[""defi""::""dao""::""yield-farming""::""three-arrows-capital-portfolio""::""governance""::""lending-borowing""::""blockchain-capital-portfolio""::""defiance-capital-portfolio""::""framework-ventures-portfolio""::""alameda-research-portfolio""::""pantera-capital-portfolio""::""parafi-capital""::""polygon-ecosystem""::""fantom-ecosystem""]]",54.86709442,3.42E+07,-6.8451,1.2687826,-1.5947144,-10.05349,0,7.73E+08,0,8.78E+08,2022-12-22T20:46
2563,TrueUSD,TUSD,trueusd,FALSE,FALSE,754373658,0,2018-03-06T00:00,323,47,2022-12-22T20:46,"[[""store-of-value""::""stablecoin""::""asset-backed-stablecoin""::""avalanche-ecosystem""::""arbitrum-ecosytem""::""bnb-chain""::""usd-stablecoin""]]",0.999443208,2.35E+07,-7.4029,0.04351972,-0.05392908,0.01318576,0,7.54E+08,0,7.54E+08,2022-12-22T20:46
2011,Tezos,XTZ,tezos,FALSE,FALSE,920546719,0,2017-10-06T00:00,256,48,2022-12-22T20:46,"[[""pos""::""platform""::""enterprise-solutions""::""collectibles-nfts""::""defi""::""smart-contracts""::""polychain-capital-portfolio""::""boostvc-portfolio""::""winklevoss-capital-portfolio""]]",0.796200183,1.27E+07,0.2851,1.1711386,-0.61560714,-15.266501,0,7.33E+08,0,7.50E+08,2022-12-22T20:46
19891,USDD,USDD,usdd,FALSE,FALSE,725332035,0,2022-05-02T08:07:12,121,49,2022-12-22T20:46,"[[""stablecoin""::""algorithmic-stablecoin""::""usd-stablecoin""]]",0.983029858,1.09E+07,-57.6783,0.09491922,-0.04231248,0.17937972,0,7.13E+08,0,7.13E+08,2022-12-22T20:46
6783,Axie Infinity,AXS,axie-infinity,FALSE,FALSE,99634147,2.70E+08,2020-08-31T00:00,278,50,2022-12-22T20:46,"[[""collectibles-nfts""::""gaming""::""binance-launchpad""::""metaverse""::""defiance-capital-portfolio""::""play-to-earn""::""animoca-brands-portfolio""]]",7.019280166,9.43E+07,122.529,0.84665763,3.630639,-6.9600835,0,6.99E+08,0,1.90E+09,2022-12-22T20:46
4066,Chiliz,CHZ,chiliz,FALSE,FALSE,1842411057,8.89E+09,2019-07-01T00:00,304,51,2022-12-22T20:46,"[[""sports""::""collectibles-nfts""::""content-creation""::""payments""]]",0.11047743,6.12E+07,-6.0793,1.5778233,0.81943804,-22.700182,0,6.78E+08,0,9.82E+08,2022-12-22T20:46
6210,The Sandbox,SAND,the-sandbox,FALSE,FALSE,1499470108,3.00E+09,2020-08-05T00:00,312,52,2022-12-22T20:46,"[[""collectibles-nfts""::""content-creation""::""gaming""::""ethereum-ecosystem""::""binance-launchpad""::""metaverse""::""play-to-earn""::""animoca-brands-portfolio""]]",0.438122684,7.79E+07,13.2652,2.2550325,1.061859,-19.494541,0,6.57E+08,0,1.31E+09,2022-12-22T20:46
1437,Zcash,ZEC,zcash,FALSE,FALSE,15973793,2.10E+07,2016-10-29T00:00,278,53,2022-12-22T20:46,"[[""mineable""::""pow""::""equihash""::""medium-of-exchange""::""privacy""::""zero-knowledge-proofs""::""binance-chain""::""boostvc-portfolio""::""dcg-portfolio""::""electric-capital-portfolio""::""fenbushi-capital-portfolio""::""hashkey-capital-portfolio""::""winklevoss-capital-portfolio""::""placeholder-ventures-portfolio""::""pantera-capital-portfolio""::""bnb-chain""]]",39.36868867,4.99E+07,49.0097,1.2486798,-6.4097986,-15.482815,0,6.29E+08,0,8.27E+08,2022-12-22T20:46
2087,KuCoin Token,KCS,kucoin-token,FALSE,FALSE,98379860,1.70E+08,2017-10-24T00:00,39,54,2022-12-22T20:46,"[[""marketplace""::""centralized-exchange""::""discount-token""::""algorand-ecosystem""]]",6.337197997,629869.7236,39.4347,0.6837254,0.1687446,-5.775163,0,6.23E+08,0,1.08E+09,2022-12-22T20:46
5964,Trust Wallet Token,TWT,trust-wallet-token,FALSE,FALSE,416649900,1.00E+09,2020-07-30T00:00,120,55,2022-12-22T20:46,"[[""wallet""::""polygon-ecosystem""::""bnb-chain""]]",1.491829993,3.14E+07,-23.03,1.6511652,-1.0239134,-29.628819,0,6.22E+08,0,1.49E+09,2022-12-22T20:46
16086,BitTorrent-New,BTT,bittorrent-new,FALSE,FALSE,-1706736640,0,2019-01-31T00:00,92,56,2022-12-22T20:46,"[[""platform""::""distributed-computing""::""filesharing""::""interoperability""::""staking""::""tron-ecosystem""::""storage""::""binance-launchpad""::""binance-labs-portfolio""::""web3""::""bnb-chain""]]",6.41E-07,7071968.407,-9.63,1.0174081,0.43100423,-4.306486,0,6.08E+08,0,6.35E+08,2022-12-22T20:46
